"week","matchdate","time","home","score","away","attendance"
"27","2024-04-06","19:30:00","Debrecen","1-2","MTK Budapest","5221"
"27","2024-04-06","16:30:00","Diósgyőr","1-1","Kisvárda","4398"
"27","2024-04-06","14:15:00","Vidi","5-0","Mezőkövesd","3233"
"27","2024-04-07","14:45:00","Ferencváros","1-0","Paks","17675"
"27","2024-04-07","17:30:00","Kecskemét","1-2","Puskás","3358"
"21","2024-04-10","18:00:00","Ferencváros","2-1","Diósgyőr","9473"
"28","2024-04-13","17:00:00","Debrecen","1-0","Kecskemét","5244"
"28","2024-04-13","14:30:00","Kisvárda","4-1","Újpest","2450"
"28","2024-04-13","19:30:00","Paks","1-2","Vidi","3511"
"28","2024-04-14","18:45:00","Mezőkövesd","0-4","Puskás","1498"
"28","2024-04-14","14:00:00","MTK Budapest","1-1","Diósgyőr","3739"
"28","2024-04-14","16:30:00","Zalaegerszeg","2-3","Ferencváros","9068"
"29","2024-04-20","19:30:00","Diósgyőr","5-3","Debrecen","6005"
"29","2024-04-20","17:00:00","Ferencváros","0-0","Kisvárda","13749"
"29","2024-04-20","14:30:00","Puskás","5-0","Paks","1000"
"29","2024-04-21","14:05:00","Kecskemét","2-1","Mezőkövesd","2083"
"29","2024-04-21","18:30:00","Újpest","1-2","MTK Budapest","3276"
"29","2024-04-21","16:00:00","Vidi","1-1","Zalaegerszeg","3756"
"30","2024-04-26","20:00:00","Zalaegerszeg","1-0","Puskás","2559"
"30","2024-04-27","19:30:00","Debrecen","1-0","Újpest","6592"
"30","2024-04-27","17:00:00","Diósgyőr","0-0","Kecskemét","5412"
"30","2024-04-27","14:30:00","Paks","2-1","Mezőkövesd","2034"
"30","2024-04-28","15:15:00","Kisvárda","1-0","Vidi","235"
"30","2024-04-28","17:45:00","MTK Budapest","1-2","Ferencváros","4638"
"31","2024-05-03","20:00:00","Vidi","4-0","MTK Budapest","3104"
"31","2024-05-04","13:00:00","Mezőkövesd","1-2","Zalaegerszeg","1320"
"31","2024-05-04","15:30:00","Puskás","4-2","Kisvárda","1310"
"31","2024-05-04","19:15:00","Újpest","7-0","Diósgyőr","5833"
"31","2024-05-05","18:30:00","Ferencváros","5-1","Debrecen","11959"
"31","2024-05-05","16:00:00","Kecskemét","0-0","Paks","2452"
"32","2024-05-10","20:15:00","Újpest","0-3","Kecskemét","5255"
"32","2024-05-11","19:30:00","Diósgyőr","2-0","Ferencváros","6634"
"32","2024-05-11","15:30:00","MTK Budapest","1-3","Puskás","2562"
"32","2024-05-11","17:30:00","Zalaegerszeg","1-1","Paks","3411"
"32","2024-05-12","19:30:00","Debrecen","1-0","Vidi","5347"
"32","2024-05-12","14:15:00","Kisvárda","4-3","Mezőkövesd","1200"
"33","2024-05-17","20:30:00","Mezőkövesd","1-1","MTK Budapest","700"
"33","2024-05-18","17:45:00","Paks","2-1","Kisvárda","3111"
"33","2024-05-18","17:45:00","Puskás","4-1","Debrecen","2181"
"33","2024-05-18","17:45:00","Vidi","0-0","Diósgyőr","6133"
"33","2024-05-19","20:15:00","Ferencváros","2-0","Újpest","18767"
"33","2024-05-19","17:15:00","Kecskemét","2-1","Zalaegerszeg","2461"
