29,2024-04-21,14:05,Kecskemét,2-1,Mezõkövesd,2083
29,2024-04-21,16:00,Vidi,1-1,Zalaegerszeg,3756
29,2024-04-21,18:30,Újpest,1-2,MTK Budapest,3276
30,2024-04-26,20:00,Zalaegerszeg,1-0,Puskás,2559
30,2024-04-27,14:30,Paks,2-1,Mezõkövesd,2034
30,2024-04-27,17:00,Diósgyõr,0-0,Kecskemét,5412
30,2024-04-27,19:30,Debrecen,1-0,Újpest,6592
30,2024-04-28,15:15,Kisvárda,1-0,Vidi,235
30,2024-04-28,17:45,MTK Budapest,1-2,Ferencváros,4638
31,2024-05-03,20:00,Vidi,4-0,MTK Budapest,3104
31,2024-05-04,13:00,Mezõkövesd,1-2,Zalaegerszeg,1320
31,2024-05-04,15:30,Puskás,4-2,Kisvárda,1310
31,2024-05-04,19:15,Újpest,7-0,Diósgyõr,5833
31,2024-05-05,16:00,Kecskemét,0-0,Paks,2452
31,2024-05-05,18:30,Ferencváros,5-1,Debrecen,11959
32,2024-05-10,20:15,Újpest,0-3,Kecskemét,5255
32,2024-05-11,15:30,MTK Budapest,1-3,Puskás,2562
32,2024-05-11,17:30,Zalaegerszeg,1-1,Paks,3411
32,2024-05-11,19:30,Diósgyõr,2-0,Ferencváros,6634
32,2024-05-12,14:15,Kisvárda,4-3,Mezõkövesd,1200
32,2024-05-12,19:30,Debrecen,1-0,Vidi,5347
33,2024-05-17,20:30,Mezõkövesd,1-1,MTK Budapest,700
33,2024-05-18,17:45,Paks,2-1,Kisvárda,3111
33,2024-05-18,17:45,Vidi,0-0,Diósgyõr,6133
33,2024-05-18,17:45,Puskás,4-1,Debrecen,2181
33,2024-05-19,17:15,Kecskemét,2-1,Zalaegerszeg,2461
33,2024-05-19,20:15,Ferencváros,2-0,Újpest,18767
